日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
113/11/09,104 台北二,LH2 菠菜 角葉 ,131.0,103.2,32.7,94.6, - 15,346.0, + 57,0
113/11/09,648 西螺鎮,LH2 菠菜 角葉 ,100.0,80.0,40.0,76.1, - 21,5854.0, + 64,0
113/11/09,830 鳳山區,LH1 菠菜 圓葉 ,69.2,30.2,20.0,36.0, +  3,790.0, -  6,0
113/11/10,260 宜蘭市,LH1 菠菜 圓葉 ,140.0,90.0,70.0,90.0,  -  ,2650.0,  -  ,0
113/11/10,900 屏東市,LH1 菠菜 圓葉 ,49.4,24.0,15.0,24.0, -  9,660.0, -  3,0
113/11/10,241 三重區,LH1 菠菜 圓葉 ,143.3,104.4,77.7,106.8, - 17,793.0, + 49,0
113/11/10,220 板橋區,LH1 菠菜 圓葉 ,137.2,122.0,101.0,120.8, +  9,809.0, +  5,0
113/11/10,338 桃　農,LH1 菠菜 圓葉 ,152.4,93.6,55.0,97.6, + 12,448.0, +105,0
113/11/10,220 板橋區,LH2 菠菜 角葉 ,54.0,54.0,54.0,54.0, - 16,100.0, + 25,0
113/11/10,800 高雄市,LH1 菠菜 圓葉 ,129.1,79.1,65.0,86.26,    0,1110.0,    0,0
113/11/10,400 台中市,LH1 菠菜 圓葉 ,141.4,109.3,70.8,108.5, - 19,473.0, +285,0
113/11/10,109 台北一,LH2 菠菜 角葉 ,155.0,150.4,145.4,150.3, +145,240.0, - 86,0
113/11/10,800 高雄市,LH2 菠菜 角葉 ,148.7,113.2,57.9,109.27, -  3,686.0, +  0,0
113/11/10,420 豐原區,LH1 菠菜 圓葉 ,112.0,109.8,100.0,108.3, + 12,130.0, - 20,0
113/11/10,930 台東市,LH1 菠菜 圓葉 ,53.0,53.0,53.0,53.0,    0,30.0, - 72,0
113/11/10,104 台北二,LH2 菠菜 角葉 ,126.7,97.6,76.3,99.2, +  5,270.0, - 22,0
113/11/10,830 鳳山區,LH1 菠菜 圓葉 ,57.4,28.9,21.3,33.1, -  8,770.0, -  3,0
113/11/10,104 台北二,LH1 菠菜 圓葉 ,153.4,105.2,71.2,108.1, +  7,2586.0, +  6,0
113/11/10,400 台中市,LH2 菠菜 角葉 ,70.0,70.0,45.0,51.3, - 45,160.0, +167,0
113/11/10,109 台北一,LH1 菠菜 圓葉 ,155.6,116.5,83.2,117.7, +  8,4258.0, -  1,0
113/11/11,648 西螺鎮,LH2 菠菜 角葉 ,100.0,79.9,40.0,76.1,    0,7095.0, + 21,0
113/11/12,241 三重區,LH1 菠菜 圓葉 ,133.8,111.0,75.0,108.4, +  1,669.0, - 16,0
