日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,中價_lag1,中價_lag7,中價_lag14,下價_lag1,下價_lag7,下價_lag14,價格區間_lag1,價格區間_lag7,價格區間_lag14,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmean_3d_prev,日照時數(hour)_rollmean_3d_prev,相對溼度(%)_rollmean_3d_prev,最大陣風(m/s)_rollmean_3d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter,weekday,is_weekend,is_mon,is_fri
111/11/18,28.871666666666663,42.85,48.09166666666667,44.49166666666667,25.65,28.65,28.116666666666664,15.216666666666669,17.816666666666666,18.15,27.633333333333333,30.275,26.341666666666665,10475.85,22871.6,22420.016666666663,24.735,29.365,28.4725,24.08,29.84,20.42,9.3,0.1,0.0,81.0,7.159999999999999,23.74666666666667,29.38833333333333,20.49166666666667,6.466666666666669,84.46666666666665,6.324999999999999,0.4,0.8,0.0,0.0,9.419999999999998,0,0,0,0,0,1,8,11,-0.5000000000000004,0.8660254037844384,1,4,0,0,1
111/11/19,28.159166666666668,45.25,47.25833333333333,46.4,28.46666666666667,29.28333333333333,28.425,16.599999999999998,18.125,18.066666666666663,28.65,29.133333333333333,28.33333333333333,34771.316666666666,26665.6,27458.108333333334,28.871666666666663,29.63,28.71,24.08,30.82,20.16,7.7,0.1,0.0,84.2,6.6,23.78,29.595,20.551666666666662,6.766666666666669,84.66666666666667,6.3116666666666665,0.3,0.8,0.0,0.0,10.66,0,0,0,0,0,1,9,11,-0.5000000000000004,0.8660254037844384,1,5,1,0,0
111/11/20,29.063636363636363,94.20833333333331,43.10909090909091,49.02727272727272,27.59166666666667,28.463636363636365,29.49090909090909,15.808333333333332,17.3,18.827272727272728,78.39999999999999,25.80909090909091,30.2,29908.691666666666,23377.14545454545,30776.072727272727,28.159166666666668,28.245454545454542,30.281818181818185,23.48,28.76,20.92,5.9,0.1,0.0,88.4,5.779999999999999,23.88,29.80666666666666,20.5,7.633333333333336,84.53333333333333,6.513333333333333,0.3,0.8,0.0,0.0,7.84,0,0,0,0,0,1,10,11,-0.5000000000000004,0.8660254037844384,1,6,1,0,0
111/11/21,27.985,44.85454545454545,47.5,52.1,28.9,27.35,29.55,16.963636363636365,16.5,18.4,27.890909090909087,31.0,33.7,29339.79090909091,6739.3,5655.3,29.063636363636363,27.53,29.88,23.880000000000003,29.56,20.9,4.9,0.1,0.0,86.4,5.26,23.813333333333333,29.713333333333328,20.66,6.166666666666669,86.33333333333333,5.879999999999999,0.3,0.8,0.0,0.0,8.66,0,0,0,0,0,1,11,11,-0.5000000000000004,0.8660254037844384,1,0,0,1,0
111/11/22,29.852500000000003,46.3,44.36666666666667,47.31666666666666,28.1,28.008333333333336,29.83333333333333,13.2,17.508333333333333,18.95,33.099999999999994,26.85833333333333,28.366666666666664,5400.1,33529.675,35996.4,27.985,28.375833333333333,30.22666666666667,24.48,29.6,21.04,5.9,0.0,0.0,84.0,4.54,23.94666666666667,29.30666666666667,20.953333333333333,5.56666666666667,86.26666666666667,5.193333333333333,0.2,0.7000000000000001,0.0,0.0,8.560000000000002,0,0,0,0,0,0,0,11,-0.5000000000000004,0.8660254037844384,1,1,0,0,0
111/11/23,29.165000000000003,45.4,43.975,47.1,29.766666666666666,27.916666666666668,28.27272727272728,18.566666666666663,18.175,17.69090909090909,26.83333333333333,25.8,29.40909090909091,43204.93333333333,25182.45833333333,18726.26363636364,29.852500000000003,28.469166666666663,29.029090909090908,24.2,28.52,21.2,1.3,0.218,0.7,87.0,5.0200000000000005,24.186666666666667,29.226666666666663,21.046666666666667,4.033333333333336,85.8,4.94,0.318,0.718,0.7,0.7,7.32,0,0,0,0,0,1,1,11,-0.5000000000000004,0.8660254037844384,1,2,0,0,0
111/11/24,29.104166666666668,45.00833333333333,42.85,46.48333333333333,29.09166666666667,25.65,26.7,17.708333333333332,15.216666666666669,17.041666666666668,27.3,27.633333333333333,29.44166666666666,37915.025,10475.85,17893.649999999998,29.165000000000003,24.735,27.61,24.12,28.76,21.58,1.9,0.118,0.3,88.6,5.82,24.26666666666667,28.96,21.27333333333333,3.0333333333333354,86.53333333333335,5.126666666666666,0.3359999999999999,0.736,1.0,1.0,7.180000000000003,0,0,0,0,0,1,2,11,-0.5000000000000004,0.8660254037844384,1,3,0,0,0
111/11/25,27.654545454545453,43.85833333333333,45.25,48.09166666666667,29.15,28.46666666666667,28.65,17.441666666666666,16.599999999999998,17.816666666666666,26.41666666666666,28.65,30.275,28972.341666666664,34771.316666666666,22871.6,29.104166666666668,28.871666666666663,29.365,23.42,27.74,20.82,0.7,0.018,0.1,87.6,4.1,23.913333333333338,28.34,21.2,1.3000000000000025,87.73333333333333,4.98,0.354,0.654,1.1,1.1,6.919999999999998,0,0,0,0,0,1,3,11,-0.5000000000000004,0.8660254037844384,1,4,0,0,1
111/11/26,28.44545454545454,44.22727272727273,94.20833333333331,47.25833333333333,27.19090909090909,27.59166666666667,29.28333333333333,17.063636363636363,15.808333333333332,18.125,27.163636363636364,78.39999999999999,29.133333333333333,20776.754545454543,29908.691666666666,26665.6,27.654545454545453,28.159166666666668,29.63,23.380000000000003,27.94,21.04,0.8,1.218,0.1,90.4,5.720000000000001,23.64,28.146666666666665,21.146666666666665,1.1333333333333355,88.86666666666667,5.213333333333334,1.354,1.772,0.5,1.2,6.900000000000002,0,0,0,0,0,1,4,11,-0.5000000000000004,0.8660254037844384,1,5,1,0,0
111/11/27,29.454545454545453,46.44545454545455,44.85454545454545,43.10909090909091,27.85454545454545,28.9,28.463636363636365,17.163636363636364,16.963636363636365,17.3,29.28181818181818,27.890909090909087,25.80909090909091,21378.772727272728,29339.79090909091,23377.14545454545,28.44545454545454,29.063636363636363,28.245454545454542,23.4,26.44,20.68,1.6,0.318,0.1,81.4,7.959999999999999,23.4,27.37333333333333,20.846666666666664,1.0333333333333357,86.46666666666665,5.926666666666667,1.5539999999999998,1.99,0.3,1.3,5.760000000000002,0,0,0,0,0,1,5,11,-0.5000000000000004,0.8660254037844384,1,6,1,0,0
