日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
107/11/14,900 屏東市,LA1 甘藍 初秋 ,13.6,7.8,4.1,7.8, - 17,29342.0, - 22,0
107/11/14,104 台北二,LA1 甘藍 初秋 ,14.8,6.0,4.2,7.4, - 35,67568.0, + 17,0
107/11/14,514 溪湖鎮,LA1 甘藍 初秋 ,8.8,6.2,3.9,6.3, - 10,65430.0, +  0,0
107/11/14,241 三重區,LA1 甘藍 初秋 ,11.7,6.5,4.5,7.2, -  5,19072.0, -  5,0
107/11/14,540 南投市,LA1 甘藍 初秋 ,15.0,9.0,2.0,8.6, + 27,1034.0, - 59,0
107/11/14,260 宜蘭市,LA1 甘藍 初秋 ,30.0,25.0,12.0,25.0,    0,3350.0, - 13,0
107/11/14,930 台東市,LA1 甘藍 初秋 ,15.0,10.0,5.0,11.0, + 10,8365.0, + 22,0
107/11/14,220 板橋區,LA1 甘藍 初秋 ,10.7,7.7,5.6,7.9, +  8,22290.0, + 18,0
107/11/14,420 豐原區,LA1 甘藍 初秋 ,9.6,5.5,4.0,6.0,    0,14730.0,    0,0
107/11/14,648 西螺鎮,LA1 甘藍 初秋 ,7.9,5.1,3.1,5.2, -  2,267609.0, +  3,0
107/11/14,338 桃　農,LA1 甘藍 初秋 ,7.0,6.2,4.8,6.1, - 12,9960.0, -  5,0
107/11/15,338 桃　農,LA1 甘藍 初秋 ,5.2,4.1,3.7,4.2, - 31,15670.0, + 57,0
107/11/15,241 三重區,LA1 甘藍 初秋 ,10.7,4.8,3.7,5.8, - 19,18211.0, -  5,0
107/11/15,950 花蓮市,LA1 甘藍 初秋 ,12.6,8.0,4.5,8.2, -  7,7145.0, + 68,0
107/11/15,648 西螺鎮,LA1 甘藍 初秋 ,7.9,5.1,2.9,5.2,    0,243396.0, -  9,0
107/11/15,930 台東市,LA1 甘藍 初秋 ,15.0,10.0,5.0,10.0, -  9,6964.0, - 17,0
107/11/15,109 台北一,LA1 甘藍 初秋 ,14.0,6.4,4.3,7.5, + 12,154296.0, - 24,0
107/11/15,400 台中市,LA1 甘藍 初秋 ,7.1,4.8,3.2,5.5, - 29,19901.0, + 22,0
