日期,價格(元/公斤),價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7,氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmin_7d,降水量(mm)_rollsum_7d,日照時數(hour)_rollmean_7d,相對溼度(%)_rollmean_7d,最大陣風(m/s)_rollmax_7d,is_cold_wave,is_strong_cold,is_frost_risk,is_heavy_rain,is_strong_wind,consecutive_rainy_days,month_sin,month_cos,is_winter
108/12/11,33.95428571428572,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/12,33.79538461538462,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/13,31.92,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/14,29.53,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/15,30.183333333333334,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/16,32.6,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/17,32.276428571428575,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/18,30.77928571428572,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/19,27.346,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/20,23.573571428571427,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/21,27.10571428571429,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/22,25.225833333333338,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/23,26.2,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/24,23.407692307692308,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/25,20.822142857142858,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/26,22.35214285714286,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/27,20.16,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/28,22.15384615384616,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/29,22.52,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/30,20.75,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/12/31,25.44066666666667,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
109/01/01,24.018571428571427,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/02,23.59642857142857,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/03,23.014,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/04,21.75857142857143,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/05,22.43,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/06,20.75,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/07,23.90857142857143,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/08,23.317692307692308,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/09,22.713846153846152,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/10,26.53,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/11,24.59583333333333,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/12,24.54272727272728,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/13,20.85,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/14,27.691538461538464,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/15,30.21153846153846,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/16,30.374285714285715,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/17,26.63357142857143,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/18,26.409230769230767,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/19,27.827272727272728,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/20,23.25,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/21,25.26214285714286,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/22,25.45642857142857,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
109/01/23,19.608571428571427,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
